Source,Target,Weight,Type
1-fc-nuernberg,1-fsv-mainz-05,6,Undirected
1-fc-nuernberg,1899-hoffenheim,3,Undirected
1-fc-nuernberg,ac-milan,0,Undirected
1-fc-nuernberg,acf-fiorentina,0,Undirected
1-fc-nuernberg,ado-den-haag,0,Undirected
1-fc-nuernberg,afc-ajax,0,Undirected
1-fc-nuernberg,afc-bournemouth,0,Undirected
1-fc-nuernberg,amiens-sc,0,Undirected
1-fc-nuernberg,angers-sco,0,Undirected
1-fc-nuernberg,arsenal-fc,1,Undirected
1-fc-nuernberg,as-monaco,2,Undirected
1-fc-nuernberg,as-roma,0,Undirected
1-fc-nuernberg,as-saint-etienne,0,Undirected
1-fc-nuernberg,atalanta,0,Undirected
1-fc-nuernberg,athletic-bilbao,0,Undirected
1-fc-nuernberg,atletico-madrid,0,Undirected
1-fc-nuernberg,az-alkmaar,0,Undirected
1-fc-nuernberg,bayer-leverkusen,5,Undirected
1-fc-nuernberg,bayern-muenchen,5,Undirected
1-fc-nuernberg,bologna-fc,0,Undirected
1-fc-nuernberg,bor-moenchengladbach,3,Undirected
1-fc-nuernberg,borussia-dortmund,4,Undirected
1-fc-nuernberg,brighton-hove-albion,0,Undirected
1-fc-nuernberg,burnley-fc,0,Undirected
1-fc-nuernberg,cagliari-calcio,0,Undirected
1-fc-nuernberg,cardiff-city,0,Undirected
1-fc-nuernberg,cd-alaves,0,Undirected
1-fc-nuernberg,cd-leganes,0,Undirected
1-fc-nuernberg,celta-vigo,0,Undirected
1-fc-nuernberg,chelsea-fc,0,Undirected
1-fc-nuernberg,chievo-verona,1,Undirected
1-fc-nuernberg,crystal-palace,0,Undirected
1-fc-nuernberg,de-graafschap,0,Undirected
1-fc-nuernberg,dijon-fco,0,Undirected
1-fc-nuernberg,ea-guingamp,0,Undirected
1-fc-nuernberg,eintracht-frankfurt,4,Undirected
1-fc-nuernberg,empoli-fc,0,Undirected
1-fc-nuernberg,espanyol-barcelona,0,Undirected
1-fc-nuernberg,everton-fc,0,Undirected
1-fc-nuernberg,fc-augsburg,8,Undirected
1-fc-nuernberg,fc-barcelona,0,Undirected
1-fc-nuernberg,fc-emmen,0,Undirected
1-fc-nuernberg,fc-groningen,1,Undirected
1-fc-nuernberg,fc-nantes,1,Undirected
1-fc-nuernberg,fc-schalke-04,5,Undirected
1-fc-nuernberg,fc-utrecht,1,Undirected
1-fc-nuernberg,feyenoord,0,Undirected
1-fc-nuernberg,fortuna-duesseldorf,0,Undirected
1-fc-nuernberg,fortuna-sittard,0,Undirected
1-fc-nuernberg,frosinone-calcio,0,Undirected
1-fc-nuernberg,fulham-fc,1,Undirected
1-fc-nuernberg,genoa-cfc,1,Undirected
1-fc-nuernberg,getafe-cf,0,Undirected
1-fc-nuernberg,girona-fc,0,Undirected
1-fc-nuernberg,girondins-bordeaux,0,Undirected
1-fc-nuernberg,hannover-96,7,Undirected
1-fc-nuernberg,heracles-almelo,0,Undirected
1-fc-nuernberg,hertha-bsc,7,Undirected
1-fc-nuernberg,huddersfield-town,1,Undirected
1-fc-nuernberg,inter,0,Undirected
1-fc-nuernberg,juventus,0,Undirected
1-fc-nuernberg,lazio-roma,0,Undirected
1-fc-nuernberg,leicester-city,0,Undirected
1-fc-nuernberg,levante-ud,1,Undirected
1-fc-nuernberg,lille-osc,0,Undirected
1-fc-nuernberg,liverpool-fc,0,Undirected
1-fc-nuernberg,manchester-city,2,Undirected
1-fc-nuernberg,manchester-united,0,Undirected
1-fc-nuernberg,montpellier-hsc,0,Undirected
1-fc-nuernberg,nac-breda,0,Undirected
1-fc-nuernberg,newcastle-united,0,Undirected
1-fc-nuernberg,nimes-olympique,0,Undirected
1-fc-nuernberg,ogc-nice,0,Undirected
1-fc-nuernberg,olympique-lyon,0,Undirected
1-fc-nuernberg,olympique-marseille,0,Undirected
1-fc-nuernberg,paris-saint-germain,1,Undirected
1-fc-nuernberg,parma-calcio-1913,0,Undirected
1-fc-nuernberg,pec-zwolle,0,Undirected
1-fc-nuernberg,psv-eindhoven,2,Undirected
1-fc-nuernberg,rayo-vallecano,0,Undirected
1-fc-nuernberg,rb-leipzig,3,Undirected
1-fc-nuernberg,rc-strasbourg,0,Undirected
1-fc-nuernberg,real-betis,0,Undirected
1-fc-nuernberg,real-madrid,0,Undirected
1-fc-nuernberg,real-sociedad,0,Undirected
1-fc-nuernberg,real-valladolid,0,Undirected
1-fc-nuernberg,sampdoria,0,Undirected
1-fc-nuernberg,sassuolo-calcio,0,Undirected
1-fc-nuernberg,sbv-excelsior,0,Undirected
1-fc-nuernberg,sc-freiburg,6,Undirected
1-fc-nuernberg,sc-heerenveen,1,Undirected
1-fc-nuernberg,sd-eibar,0,Undirected
1-fc-nuernberg,sd-huesca,0,Undirected
1-fc-nuernberg,sevilla-fc,1,Undirected
1-fc-nuernberg,sm-caen,0,Undirected
1-fc-nuernberg,southampton-fc,0,Undirected
1-fc-nuernberg,spal-2013-ferrara,0,Undirected
1-fc-nuernberg,ssc-napoli,0,Undirected
1-fc-nuernberg,stade-reims,0,Undirected
1-fc-nuernberg,stade-rennes,0,Undirected
1-fc-nuernberg,torino-fc,0,Undirected
1-fc-nuernberg,tottenham-hotspur,0,Undirected
1-fc-nuernberg,toulouse-fc,0,Undirected
1-fc-nuernberg,udinese-calcio,0,Undirected
1-fc-nuernberg,valencia-cf,0,Undirected
1-fc-nuernberg,vfb-stuttgart,10,Undirected
1-fc-nuernberg,vfl-wolfsburg,10,Undirected
1-fc-nuernberg,villarreal-cf,0,Undirected
1-fc-nuernberg,vitesse,1,Undirected
1-fc-nuernberg,vvv-venlo,1,Undirected
1-fc-nuernberg,watford-fc,0,Undirected
1-fc-nuernberg,werder-bremen,5,Undirected
1-fc-nuernberg,west-ham-united,2,Undirected
1-fc-nuernberg,willem-ii,1,Undirected
1-fc-nuernberg,wolverhampton-wanderers,1,Undirected
1-fsv-mainz-05,1-fc-nuernberg,6,Undirected
1-fsv-mainz-05,1899-hoffenheim,2,Undirected
1-fsv-mainz-05,ac-milan,2,Undirected
1-fsv-mainz-05,acf-fiorentina,0,Undirected
1-fsv-mainz-05,ado-den-haag,0,Undirected
1-fsv-mainz-05,afc-ajax,2,Undirected
1-fsv-mainz-05,afc-bournemouth,0,Undirected
1-fsv-mainz-05,amiens-sc,0,Undirected
1-fsv-mainz-05,angers-sco,0,Undirected
1-fsv-mainz-05,arsenal-fc,0,Undirected
1-fsv-mainz-05,as-monaco,1,Undirected
1-fsv-mainz-05,as-roma,2,Undirected
1-fsv-mainz-05,as-saint-etienne,0,Undirected
1-fsv-mainz-05,atalanta,0,Undirected
1-fsv-mainz-05,athletic-bilbao,0,Undirected
1-fsv-mainz-05,atletico-madrid,0,Undirected
1-fsv-mainz-05,az-alkmaar,0,Undirected
1-fsv-mainz-05,bayer-leverkusen,7,Undirected
1-fsv-mainz-05,bayern-muenchen,0,Undirected
1-fsv-mainz-05,bologna-fc,1,Undirected
1-fsv-mainz-05,bor-moenchengladbach,1,Undirected
1-fsv-mainz-05,borussia-dortmund,6,Undirected
1-fsv-mainz-05,brighton-hove-albion,2,Undirected
1-fsv-mainz-05,burnley-fc,0,Undirected
1-fsv-mainz-05,cagliari-calcio,0,Undirected
1-fsv-mainz-05,cardiff-city,0,Undirected
1-fsv-mainz-05,cd-alaves,1,Undirected
